ver, WER
noisy_speech, 30.03
ibm_mse_e125, 36.60
ibm_e125, 36.87
irm_mse_e125, 25.52
irm_e125, 25.57
mag_norm_e125, 26.92
pow_db_e125, 28.31
pow_db_std_e125, 29.59
pow_db_norm_mse_e125, 28.88
pow_db_norm_e125, 28.04
mag_bar_mse_e125, 32.75
mag_bar_e125, 30.77
xi_norm_mse_e125_mmse-lsa, 58.85
xi_norm_mse_e125_srwf, 57.91
xi_norm_e125_mmse-lsa, 29.32
xi_norm_e125_srwf, 29.38
xi_db_e125_mmse-lsa, 25.78
xi_db_e125_srwf, 26.16
xi_db_std_e125_mmse-lsa, 25.74
xi_db_std_e125_srwf, 26.14
xi_db_norm_mse_e125_mmse-lsa, 26.75
xi_db_norm_mse_e125_srwf, 26.87
xi_db_norm_e125_mmse-lsa, 26.52
xi_db_norm_e125_srwf, 26.89
xi_bar_mse_e125_mmse-lsa, 25.83
xi_bar_mse_e125_srwf, 26.00
xi_bar_e125_mmse-lsa, 25.97
xi_bar_e125_srwf, 25.99
xi_gamma_norm_e125_mmse-lsa, 29.71
xi_gamma_db_e125_mmse-lsa, 26.01
xi_gamma_db_norm_mse_e125_mmse-lsa, 27.30
xi_gamma_db_norm_e125_mmse-lsa, 26.53
xi_gamma_bar_mse_e125_mmse-lsa, 25.99
xi_gamma_bar_e125_mmse-lsa, 26.57
