ver, WER
xi_gamma_bar_demand_vb_mha_e125_wf, NaN
xi_gamma_bar_demand_vb_mha_e125_srwf, NaN
xi_gamma_bar_demand_vb_mha_e125_cwf, NaN
xi_gamma_bar_demand_vb_mha_e125_mmse-stsa, NaN
xi_gamma_bar_demand_vb_mha_e125_mmse-lsa, NaN
ibm_mse_mha_e125, 24.56
ibm_mha_e125, 29.70
irm_mse_mha_e125, 25.17
irm_mha_e125, 29.89
mag_norm_mha_e125, 26.28
pow_db_mha_e125, 28.32
pow_db_std_mha_e125, 28.38
pow_db_norm_mse_mha_e125, 28.28
pow_db_norm_mha_e125, 27.77
mag_bar_mse_mha_e125, 30.20
mag_bar_mha_e125, 28.80
xi_norm_mse_mha_e125_mmse-lsa, 29.94
xi_norm_mse_mha_e125_srwf, 29.99
xi_norm_mha_e125_mmse-lsa, 29.29
xi_norm_mha_e125_srwf, 29.57
xi_db_mha_e125_mmse-lsa, 25.67
xi_db_mha_e125_srwf, 25.49
xi_db_std_mha_e125_mmse-lsa, 25.67
xi_db_std_mha_e125_srwf, 25.67
xi_db_norm_mse_mha_e125_mmse-lsa, 24.29
xi_db_norm_mse_mha_e125_srwf, 24.66
xi_db_norm_mha_e125_mmse-lsa, 24.90
xi_db_norm_mha_e125_srwf, 24.79
xi_bar_mse_mha_e125_mmse-lsa, 24.86
xi_bar_mse_mha_e125_srwf, 24.99
xi_bar_mha_e125_mmse-lsa, 24.51
xi_bar_mha_e125_srwf, 24.64
xi_gamma_norm_mha_e125_mmse-lsa, 29.31
xi_gamma_db_mha_e125_mmse-lsa, 24.74
xi_gamma_db_norm_mse_mha_e125_mmse-lsa, 25.18
xi_gamma_db_norm_mha_e125_mmse-lsa, 25.31
xi_gamma_bar_mse_mha_e125_mmse-lsa, 25.02
xi_gamma_bar_mha_e125_mmse-lsa, 24.67
iam_e125_mmse-lsa, 25.86
iam_mmsa_e125_mmse-lsa, 31.78
iam_mse_e125_mmse-lsa, 25.48

ibm_mse_chimerapp_e125, 25.54
ibm_chimerapp_e125, 31.39
irm_mse_chimerapp_e125, 25.83
irm_chimerapp_e125, 29.64

mag_norm_chimerapp_e125, 25.91
pow_db_chimerapp_e125, 32.46
pow_db_std_chimerapp_e125, 30.17
pow_db_norm_mse_chimerapp_e125, 29.48
pow_db_norm_chimerapp_e125, 28.57
mag_bar_mse_chimerapp_e125, 33.33
mag_bar_chimerapp_e125, 30.95

xi_norm_mse_chimerapp_e125_mmse-lsa, 30.02
xi_norm_mse_chimerapp_e125_srwf, 30.02
xi_norm_chimerapp_e125_mmse-lsa, 29.37
xi_norm_chimerapp_e125_srwf, 29.69
xi_db_chimerapp_e125_mmse-lsa, 25.01
xi_db_chimerapp_e125_srwf, 25.08
xi_db_std_chimerapp_e125_mmse-lsa, 24.72
xi_db_std_chimerapp_e125_srwf, 24.58
xi_db_norm_mse_chimerapp_e125_mmse-lsa, 24.67
xi_db_norm_mse_chimerapp_e125_srwf, 24.79
xi_db_norm_chimerapp_e125_mmse-lsa, 24.07
xi_db_norm_chimerapp_e125_srwf, 24.08
xi_bar_mse_chimerapp_e125_mmse-lsa, 24.33
xi_bar_mse_chimerapp_e125_srwf, 24.24
xi_bar_chimerapp_e125_mmse-lsa, 24.80
xi_bar_chimerapp_e125_srwf, 24.75
xi_gamma_norm_chimerapp_e125_mmse-lsa, 29.29
xi_gamma_db_chimerapp_e125_mmse-lsa, 24.87
xi_gamma_db_norm_mse_chimerapp_e125_mmse-lsa, 23.90
xi_gamma_db_norm_chimerapp_e125_mmse-lsa, 24.65
xi_gamma_bar_mse_chimerapp_e125_mmse-lsa, 23.95
xi_gamma_bar_chimerapp_e125_mmse-lsa, 24.14

iam_e125_mmse-lsa, 25.86
iam_mmsa_e125_mmse-lsa, 31.78
iam_mse_e125_mmse-lsa, 25.48
xi_gamma_bar_demand_vb_mha_e125_wf, NaN
xi_gamma_bar_demand_vb_mha_e125_srwf, NaN
xi_gamma_bar_demand_vb_mha_e125_cwf, NaN
xi_gamma_bar_demand_vb_mha_e125_mmse-stsa, NaN
xi_gamma_bar_demand_vb_mha_e125_mmse-lsa, NaN
xi_gamma_bar_mha_e125_wf, 26.59
xi_gamma_bar_mha_e125_srwf, 25.03
xi_gamma_bar_mha_e125_cwf, 24.31
xi_gamma_bar_mha_e125_mmse-stsa, 24.66
xi_gamma_bar_mha_e125_mmse-lsa, 24.67
