noise_src, snr_db, wer
SIGNAL019, -20, 100.00
SIGNAL019, -15, 100.00
SIGNAL019, -10, 100.00
SIGNAL019, -5, 100.00
SIGNAL019, 0, 89.17
SIGNAL019, 5, 50.79
SIGNAL019, 10, 21.07
SIGNAL019, 15, 12.59
SIGNAL019, 20, 10.33
SIGNAL019, 25, 6.28
SIGNAL019, 30, 5.83
26270, -20, 100.00
26270, -15, 99.33
26270, -10, 99.33
26270, -5, 98.05
26270, 0, 88.60
26270, 5, 56.59
26270, 10, 26.24
26270, 15, 16.16
26270, 20, 11.44
26270, 25, 8.19
26270, 30, 7.47
SIGNAL020, -20, 100.00
SIGNAL020, -15, 100.00
SIGNAL020, -10, 100.00
SIGNAL020, -5, 98.83
SIGNAL020, 0, 99.60
SIGNAL020, 5, 63.17
SIGNAL020, 10, 30.14
SIGNAL020, 15, 18.45
SIGNAL020, 20, 12.65
SIGNAL020, 25, 12.14
SIGNAL020, 30, 11.85
SIGNAL021, -20, 100.00
SIGNAL021, -15, 100.00
SIGNAL021, -10, 100.00
SIGNAL021, -5, 97.66
SIGNAL021, 0, 97.14
SIGNAL021, 5, 66.70
SIGNAL021, 10, 31.86
SIGNAL021, 15, 14.83
SIGNAL021, 20, 8.19
SIGNAL021, 25, 9.62
SIGNAL021, 30, 8.95
