ver, CSIG, CBAK, COVL, PESQ, STOI, SegSNR, SNR
xi_db_demand_vb_e100_mmse-lsa, 4.20, 3.38, 3.53, 2.84, 93.37, 8.73, 17.57
xi_db_demand_vb_e125_mmse-lsa, 4.19, 3.40, 3.52, 2.83, 93.31, 9.03, 17.82
xi_db_demand_vb_e150_mmse-lsa, 4.15, 3.33, 3.49, 2.81, 93.54, 8.15, 16.89
xi_db_demand_vb_e175_mmse-lsa, 4.21, 3.39, 3.55, 2.86, 93.47, 8.67, 17.48
xi_db_demand_vb_e200_mmse-lsa, 4.23, 3.40, 3.56, 2.86, 93.44, 8.81, 17.64
xi_db_std_demand_vb_e100_mmse-lsa, 4.22, 3.39, 3.53, 2.81, 93.45, 9.02, 17.85
xi_db_std_demand_vb_e125_mmse-lsa, 4.20, 3.36, 3.52, 2.81, 93.64, 8.54, 17.33
xi_db_std_demand_vb_e150_mmse-lsa, 4.20, 3.37, 3.52, 2.82, 93.58, 8.68, 17.34
xi_db_std_demand_vb_e175_mmse-lsa, 4.20, 3.38, 3.53, 2.82, 93.70, 8.66, 17.36
xi_db_std_demand_vb_e200_mmse-lsa, 4.19, 3.35, 3.53, 2.85, 93.53, 8.14, 16.74
xi_bar_demand_vb_e100_mmse-lsa, 4.21, 3.40, 3.54, 2.86, 93.72, 8.77, 17.65
xi_bar_demand_vb_e125_mmse-lsa, 4.24, 3.42, 3.57, 2.87, 93.61, 9.04, 17.90
xi_bar_demand_vb_e150_mmse-lsa, 4.22, 3.37, 3.53, 2.81, 93.60, 8.63, 17.49
xi_bar_demand_vb_e175_mmse-lsa, 4.23, 3.40, 3.56, 2.85, 93.82, 8.77, 17.64
xi_bar_demand_vb_e200_mmse-lsa, 4.23, 3.36, 3.58, 2.89, 93.56, 7.96, 16.72
xi_bar_demand_vb_e100_srwf, 4.18, 3.30, 3.48, 2.76, 93.75, 7.97, 16.89
xi_bar_demand_vb_e125_srwf, 4.21, 3.34, 3.51, 2.79, 93.66, 8.37, 17.28
xi_bar_demand_vb_e150_srwf, 4.18, 3.27, 3.46, 2.71, 93.65, 7.83, 16.71
xi_bar_demand_vb_e175_srwf, 4.19, 3.30, 3.49, 2.76, 93.86, 7.97, 16.88
xi_bar_demand_vb_e200_srwf, 4.21, 3.26, 3.51, 2.79, 93.64, 7.01, 15.76
xi_gamma_db_demand_vb_e100_mmse-lsa, 4.21, 3.39, 3.54, 2.85, 93.21, 8.67, 17.55
xi_gamma_db_demand_vb_e125_mmse-lsa, 4.19, 3.42, 3.52, 2.83, 93.64, 9.22, 17.99
xi_gamma_db_demand_vb_e150_mmse-lsa, 4.20, 3.40, 3.53, 2.83, 93.68, 8.99, 17.75
xi_gamma_db_demand_vb_e175_mmse-lsa, 4.20, 3.38, 3.52, 2.80, 93.63, 8.79, 17.39
xi_gamma_db_demand_vb_e200_mmse-lsa, 4.18, 3.39, 3.52, 2.83, 93.71, 8.86, 17.57
xi_gamma_bar_demand_vb_e100_mmse-lsa, 4.19, 3.41, 3.53, 2.85, 93.46, 9.01, 17.81
xi_gamma_bar_demand_vb_e125_mmse-lsa, 4.26, 3.41, 3.59, 2.88, 93.50, 8.75, 17.54
xi_gamma_bar_demand_vb_e150_mmse-lsa, 4.24, 3.37, 3.58, 2.88, 93.64, 8.11, 16.93
xi_gamma_bar_demand_vb_e175_mmse-lsa, 4.20, 3.40, 3.51, 2.80, 93.64, 9.19, 18.09
xi_gamma_bar_demand_vb_e200_mmse-lsa, 4.17, 3.39, 3.50, 2.79, 93.64, 9.14, 18.03
pow_db_demand_vb_e100, 4.11, 3.07, 3.42, 2.73, 90.90, 4.73, 10.51
pow_db_demand_vb_e125, 4.11, 3.06, 3.40, 2.68, 91.16, 4.80, 10.20
pow_db_demand_vb_e150, 4.11, 3.09, 3.42, 2.72, 91.00, 5.10, 10.91
pow_db_demand_vb_e175, 4.13, 3.11, 3.43, 2.73, 90.91, 5.19, 10.87
pow_db_demand_vb_e200, 4.10, 3.11, 3.42, 2.73, 91.07, 5.33, 11.37
mag_bar_demand_vb_e100, 3.95, 2.84, 3.13, 2.32, 91.79, 3.97, 7.04
mag_bar_demand_vb_e125, 3.98, 2.86, 3.17, 2.36, 91.80, 3.99, 7.40
mag_bar_demand_vb_e150, 4.03, 2.92, 3.23, 2.44, 92.03, 4.29, 7.57
mag_bar_demand_vb_e175, 4.01, 2.88, 3.21, 2.41, 91.98, 3.91, 7.65
mag_bar_demand_vb_e200, 4.04, 2.92, 3.25, 2.45, 91.88, 4.27, 7.84
pow_db_std_demand_vb_e100, 4.07, 3.07, 3.38, 2.69, 90.87, 4.98, 9.92
pow_db_std_demand_vb_e125, 4.08, 3.03, 3.37, 2.66, 90.67, 4.63, 9.85
pow_db_std_demand_vb_e150, 4.12, 3.07, 3.42, 2.73, 90.71, 4.70, 9.24
pow_db_std_demand_vb_e175, 4.10, 3.07, 3.42, 2.74, 91.03, 4.61, 10.22
pow_db_std_demand_vb_e200, 4.08, 3.03, 3.36, 2.63, 91.17, 4.85, 10.41
ibm_demand_vb_e100, 2.03, 2.97, 1.98, 2.13, 93.14, 9.22, 17.73
ibm_demand_vb_e125, 2.12, 2.96, 2.03, 2.13, 92.73, 9.04, 17.46
ibm_demand_vb_e150, 2.04, 2.96, 1.98, 2.12, 93.06, 9.25, 17.77
ibm_demand_vb_e175, 2.09, 2.95, 2.01, 2.12, 92.68, 8.93, 17.28
ibm_demand_vb_e200, 2.01, 2.97, 1.98, 2.14, 92.97, 9.18, 17.67
ibm_mse_demand_vb_e100, 2.18, 2.97, 2.08, 2.13, 92.36, 8.93, 17.37
ibm_mse_demand_vb_e125, 1.99, 2.96, 1.96, 2.11, 92.97, 9.11, 17.64
ibm_mse_demand_vb_e150, 2.15, 2.96, 2.07, 2.15, 92.64, 8.77, 17.19
ibm_mse_demand_vb_e175, 2.14, 2.95, 2.06, 2.14, 92.71, 8.75, 17.17
ibm_mse_demand_vb_e200, 2.10, 2.94, 2.04, 2.14, 92.98, 8.73, 17.01
irm_demand_vb_e100, 4.15, 3.25, 3.43, 2.69, 93.78, 7.71, 16.71
irm_demand_vb_e125, 4.16, 3.25, 3.45, 2.72, 93.87, 7.55, 16.53
irm_demand_vb_e150, 4.20, 3.24, 3.48, 2.73, 93.80, 7.24, 16.32
irm_demand_vb_e175, 4.19, 3.24, 3.48, 2.75, 93.83, 7.14, 16.14
irm_demand_vb_e200, 4.20, 3.25, 3.48, 2.74, 93.72, 7.39, 16.27
mmse-stsa_db_demand_vb_e100, 3.47, 2.31, 2.68, 1.96, 88.69, -0.35, 4.53
mmse-stsa_db_demand_vb_e125, 3.51, 2.24, 2.73, 2.03, 90.08, -1.37, 3.99
mmse-stsa_db_demand_vb_e150, 3.70, 2.74, 2.97, 2.28, 90.97, 3.62, 10.76
mmse-stsa_db_demand_vb_e175, 3.49, 2.42, 2.71, 2.02, 88.17, 1.34, 7.83
mmse-stsa_db_demand_vb_e200, 3.72, 2.71, 2.98, 2.27, 90.78, 3.32, 10.36
mmse-lsa_db_demand_vb_e100, 3.25, 2.28, 2.50, 1.88, 86.90, 1.37, 6.90
mmse-lsa_db_demand_vb_e125, 3.72, 2.79, 3.03, 2.38, 90.86, 3.80, 10.67
mmse-lsa_db_demand_vb_e150, 3.77, 2.78, 3.03, 2.33, 90.48, 3.83, 10.67
mmse-lsa_db_demand_vb_e175, 3.71, 2.71, 3.00, 2.33, 90.85, 3.01, 9.69
mmse-lsa_db_demand_vb_e200, 3.76, 2.79, 3.04, 2.35, 90.45, 3.91, 10.72
fft_mask_demand_vb_e100_mmse-lsa, 1.00, 1.00, 1.00, NaN, 100.00, -0.00, 0.00
fft_mask_demand_vb_e125_mmse-lsa, 1.00, 1.00, 1.00, NaN, 100.00, -0.00, 0.00
fft_mask_demand_vb_e150_mmse-lsa, 1.00, 1.00, 1.00, NaN, 100.00, -0.00, 0.00
fft_mask_demand_vb_e175_mmse-lsa, 1.00, 1.00, 1.00, NaN, 100.00, -0.00, 0.00
fft_mask_demand_vb_e200_mmse-lsa, 1.00, 1.00, 1.00, NaN, 100.00, -0.00, 0.00
xi_bar_mse_demand_vb_e100_mmse-lsa, 4.21, 3.34, 3.54, 2.84, 93.59, 8.01, 16.85
xi_bar_mse_demand_vb_e125_mmse-lsa, 4.21, 3.40, 3.55, 2.86, 93.53, 8.84, 17.65
xi_bar_mse_demand_vb_e150_mmse-lsa, 4.19, 3.35, 3.52, 2.82, 93.79, 8.22, 17.00
xi_bar_mse_demand_vb_e175_mmse-lsa, 4.22, 3.39, 3.56, 2.87, 93.73, 8.55, 17.37
