ver, CSIG, CBAK, COVL, PESQ, STOI, SegSNR, SNR
xi_db_demand_vb_e100_mmse-lsa, 4.16, 3.31, 3.49, 2.79, 93.13, 7.97, 16.47
xi_db_demand_vb_e125_mmse-lsa, 4.23, 3.35, 3.55, 2.85, 93.51, 8.07, 16.66
xi_db_demand_vb_e150_mmse-lsa, 4.15, 3.31, 3.48, 2.78, 93.54, 7.94, 16.44
xi_db_demand_vb_e175_mmse-lsa, 4.21, 3.40, 3.55, 2.86, 93.52, 8.75, 17.49
xi_db_demand_vb_e200_mmse-lsa, 4.19, 3.29, 3.51, 2.81, 93.55, 7.48, 15.86
xi_db_std_demand_vb_e100_mmse-lsa, 4.14, 3.32, 3.46, 2.75, 93.37, 8.50, 17.11
xi_db_std_demand_vb_e125_mmse-lsa, 4.18, 3.36, 3.52, 2.84, 93.27, 8.28, 16.89
xi_db_std_demand_vb_e150_mmse-lsa, 4.12, 3.29, 3.43, 2.73, 93.37, 8.06, 16.48
xi_db_std_demand_vb_e175_mmse-lsa, 4.23, 3.41, 3.56, 2.86, 93.25, 8.93, 17.62
xi_db_std_demand_vb_e200_mmse-lsa, 4.19, 3.31, 3.52, 2.83, 93.33, 7.63, 16.14
xi_bar_demand_vb_e100_mmse-lsa, 4.18, 3.39, 3.53, 2.87, 93.43, 8.54, 17.28
xi_bar_demand_vb_e125_mmse-lsa, 4.27, 3.36, 3.59, 2.88, 93.15, 8.04, 16.78
xi_bar_demand_vb_e150_mmse-lsa, 4.23, 3.40, 3.57, 2.87, 93.53, 8.65, 17.42
xi_bar_demand_vb_e175_mmse-lsa, 4.17, 3.32, 3.50, 2.81, 93.55, 7.88, 16.61
xi_bar_demand_vb_e200_mmse-lsa, 4.23, 3.38, 3.57, 2.88, 93.57, 8.34, 17.01
xi_bar_demand_vb_e100_srwf, 4.16, 3.30, 3.49, 2.79, 93.53, 7.78, 16.59
xi_bar_demand_vb_e125_srwf, 4.25, 3.27, 3.54, 2.80, 93.29, 7.19, 15.96
xi_bar_demand_vb_e150_srwf, 4.21, 3.32, 3.52, 2.80, 93.61, 7.93, 16.73
xi_bar_demand_vb_e175_srwf, 4.14, 3.21, 3.43, 2.70, 93.60, 6.98, 15.70
xi_bar_demand_vb_e200_srwf, 4.21, 3.29, 3.51, 2.78, 93.66, 7.54, 16.21
xi_gamma_db_demand_vb_e100_mmse-lsa, 4.20, 3.41, 3.53, 2.84, 93.50, 9.05, 17.77
xi_gamma_db_demand_vb_e125_mmse-lsa, 4.20, 3.39, 3.53, 2.84, 93.51, 8.85, 17.54
xi_gamma_db_demand_vb_e150_mmse-lsa, 4.22, 3.39, 3.56, 2.86, 93.47, 8.56, 17.16
xi_gamma_db_demand_vb_e175_mmse-lsa, 4.20, 3.40, 3.53, 2.84, 93.38, 8.89, 17.38
xi_gamma_db_demand_vb_e200_mmse-lsa, 4.21, 3.39, 3.54, 2.85, 93.32, 8.69, 17.17
xi_gamma_bar_demand_vb_e100_mmse-lsa, 4.21, 3.35, 3.55, 2.86, 93.43, 7.94, 16.72
xi_gamma_bar_demand_vb_e125_mmse-lsa, 4.20, 3.41, 3.55, 2.88, 93.56, 8.78, 17.62
xi_gamma_bar_demand_vb_e150_mmse-lsa, 4.24, 3.38, 3.57, 2.87, 93.51, 8.45, 17.26
xi_gamma_bar_demand_vb_e175_mmse-lsa, 4.23, 3.38, 3.56, 2.85, 93.46, 8.49, 17.21
xi_gamma_bar_demand_vb_e200_mmse-lsa, 4.19, 3.36, 3.51, 2.80, 93.51, 8.48, 17.06
pow_db_demand_vb_e100_mmse-lsa, 4.01, 3.01, 3.32, 2.63, 89.72, 4.62, 9.88
pow_db_demand_vb_e125_mmse-lsa, 4.00, 2.99, 3.31, 2.62, 90.01, 4.30, 9.54
pow_db_demand_vb_e150_mmse-lsa, 3.98, 2.97, 3.27, 2.57, 89.83, 4.43, 9.77
pow_db_demand_vb_e175_mmse-lsa, 4.01, 3.00, 3.30, 2.60, 89.82, 4.64, 10.11
pow_db_demand_vb_e200_mmse-lsa, 4.01, 2.99, 3.30, 2.60, 89.86, 4.55, 10.19
pow_db_std_demand_vb_e100, 4.00, 2.96, 3.29, 2.59, 90.11, 4.10, 9.42
pow_db_std_demand_vb_e125, 3.89, 2.85, 3.13, 2.38, 89.53, 3.90, 8.75
pow_db_std_demand_vb_e150, 3.98, 2.98, 3.25, 2.53, 90.04, 4.80, 9.84
pow_db_std_demand_vb_e175, 4.07, 3.03, 3.35, 2.63, 90.66, 4.78, 10.37
