ver, CSIG, CBAK, COVL, PESQ, STOI, ESTOI, SDR, SI-SDR, SegSNR
mag_pow_demand_vb_e125, 4.25, 3.29, 3.57, 2.87, 92.96, 82.74, 15.25, 15.21, 6.79
iam_demand_vb_e125_mmse-lsa, 4.22, 3.29, 3.50, 2.75, 93.76, 84.11, 16.63, 16.56, 7.67
iam_mse_demand_vb_e125_mmse-lsa, 4.20, 3.28, 3.49, 2.74, 93.94, 84.22, 16.78, 16.70, 7.66
iam_mmsa_demand_vb_e125_mmse-lsa, 3.13, 2.55, 2.54, 2.09, 90.15, 75.71, 11.97, 11.72, 4.32
mag_pow_demand_vb_mha_e125, 4.29, 3.27, 3.63, 2.95, 92.35, 83.37, 12.27, 13.48, 5.74
iam_demand_vb_mha_e125, 4.36, 3.41, 3.67, 2.93, 94.24, 85.24, 17.10, 17.00, 8.10
iam_mse_demand_vb_mha_e125, 4.36, 3.41, 3.66, 2.90, 94.35, 85.34, 17.20, 17.11, 8.26
iam_mmsa_demand_vb_mha_e125, 4.05, 3.35, 3.42, 2.78, 93.55, 83.71, 17.89, 17.80, 8.84
mag_pow_demand_vb_chimerapp_e125, 4.34, 3.40, 3.70, 3.05, 93.24, 83.82, 15.00, 14.97, 7.22
iam_demand_vb_chimerapp_e125, 4.22, 3.32, 3.52, 2.80, 93.84, 84.46, 17.19, 17.09, 8.15
iam_mse_demand_vb_chimerapp_e125, 4.21, 3.30, 3.52, 2.81, 93.90, 84.66, 16.89, 16.79, 7.86
iam_mmsa_demand_vb_chimerapp_e125, 4.02, 3.31, 3.37, 2.71, 93.53, 83.76, 18.03, 17.93, 8.94
mmse-lsa_clip_mse_demand_vb_e125, 4.25, 3.34, 3.55, 2.81, 93.82, 84.29, 17.07, 16.99, 8.06
mmse-lsa_clip_demand_vb_e125, 4.21, 3.35, 3.52, 2.79, 93.90, 84.46, 17.43, 17.33, 8.44
mmse-stsa_clip_mse_demand_vb_e125, 4.27, 3.37, 3.58, 2.86, 93.69, 84.41, 17.12, 17.07, 8.22
mmse-stsa_clip_demand_vb_e125, 4.21, 3.34, 3.51, 2.78, 93.72, 84.17, 17.33, 17.23, 8.32
irm_mse_trial_2_demand_vb_e125, 4.07, 3.21, 3.34, 2.61, 93.28, 83.15, 16.82, 16.80, 7.89
irm_trial_2_demand_vb_e125, 2.00, 1.65, 1.50, 1.27, 74.77, 51.55, 2.46, -0.88, -0.50
ibm_mse_trial_2_demand_vb_e125, 4.07, 3.24, 3.36, 2.63, 93.14, 83.15, 17.06, 17.05, 8.21
ibm_trial_2_demand_vb_e125, 1.18, 1.61, 1.13, 1.37, 78.55, 58.93, 3.46, 0.89, -0.20
cwf_mse_demand_vb_e125, 4.13, 3.25, 3.41, 2.68, 93.37, 83.31, 16.84, 16.86, 7.90
cwf_demand_vb_e125, 2.55, 1.75, 1.89, 1.45, 77.73, 54.44, 3.01, -0.02, -1.48
wf_mse_demand_vb_e125, 4.09, 3.24, 3.37, 2.63, 93.10, 83.01, 16.81, 16.98, 8.09
wf_demand_vb_e125, 2.49, 1.86, 1.84, 1.43, 80.10, 62.21, 4.68, 3.04, 0.60
mmse-lsa_clip_mse_demand_vb_mha_e125, 4.31, 3.43, 3.62, 2.89, 94.24, 85.17, 17.68, 17.58, 8.79
mmse-lsa_clip_demand_vb_mha_e125, 4.32, 3.46, 3.64, 2.92, 94.26, 85.13, 17.81, 17.72, 9.00
mmse-stsa_clip_mse_demand_vb_mha_e125, 4.33, 3.46, 3.65, 2.92, 94.31, 85.27, 17.88, 17.80, 9.04
mmse-stsa_clip_demand_vb_mha_e125, 4.34, 3.48, 3.66, 2.94, 94.20, 85.24, 18.09, 18.00, 9.20
cwf_mse_demand_vb_mha_e125, 4.22, 3.38, 3.53, 2.81, 93.98, 84.66, 17.68, 17.58, 8.81
cwf_demand_vb_mha_e125, 3.45, 2.24, 2.66, 1.92, 91.51, 78.27, 3.72, 4.41, -1.08
wf_mse_demand_vb_mha_e125, 4.23, 3.32, 3.51, 2.77, 94.00, 84.41, 17.16, 17.12, 8.31
