ver, CSIG, CBAK, COVL, PESQ, STOI, ESTOI, SDR, SI-SDR, SegSNR, SNR

noisy_speech, 3.50, 2.47, 2.73, 1.99, 91.53, 78.31, 8.39, 8.39, 1.71, 8.39

ibm_mse_demand_vb_e125, 1.99, 2.96, 1.96, 2.11, 92.97, 81.64, 17.64, 17.56, 9.11, 17.64
ibm_demand_vb_e125, 2.12, 2.96, 2.03, 2.13, 92.73, 81.63, 17.46, 17.37, 9.04, 17.46
irm_mse_demand_vb_e125, 4.17, 3.29, 3.46, 2.73, 93.74, 84.05, 17.02, 16.92, 8.04, 17.02
irm_demand_vb_e125, 4.16, 3.25, 3.45, 2.72, 93.87, 84.15, 16.53, 16.42, 7.55, 16.53
iam_mse_demand_vb_e125_mmse-lsa, 4.20, 3.28, 3.49, 2.74, 93.94, 84.22, 16.78, 16.70, 7.66, 16.78
iam_demand_vb_e125_mmse-lsa, 4.22, 3.29, 3.50, 2.75, 93.76, 84.11, 16.63, 16.56, 7.67, 16.63
iam_mmsa_demand_vb_e125_mmse-lsa, 3.13, 2.55, 2.54, 2.09, 90.15, 75.71, 11.97, 11.72, 4.32, 11.97



mag_norm_demand_vb_e125, 4.14, 3.20, 3.44, 2.72, 93.18, 82.73, 15.38, 15.30, 6.64, 15.38
pow_db_demand_vb_e125, 4.11, 3.06, 3.40, 2.68, 91.16, 79.72, 10.20, 10.89, 4.80, 10.20
pow_db_std_demand_vb_e125, 4.07, 3.05, 3.38, 2.70, 90.99, 79.22, 10.09, 9.93, 4.69, 10.09
pow_db_norm_mse_demand_vb_e125, 4.02, 2.94, 3.27, 2.51, 91.15, 79.47, 8.99, 10.16, 4.30, 8.99
pow_db_norm_demand_vb_e125, 4.09, 3.08, 3.38, 2.67, 91.88, 80.51, 10.75, 11.99, 5.22, 10.75
mag_bar_mse_demand_vb_e125, 3.71, 2.69, 2.91, 2.13, 89.46, 76.82, 6.47, 6.33, 3.38, 6.47
mag_bar_demand_vb_e125, 3.91, 2.92, 3.18, 2.45, 90.19, 78.12, 8.62, 8.79, 4.45, 8.62


xi_norm_mse_demand_vb_e125_mmse-lsa, 2.34, 1.60, 1.77, 1.57, 75.28, 49.88, 1.30, -4.21, -1.81, 1.30
xi_norm_mse_demand_vb_e125_srwf, 2.40, 1.63, 1.81, 1.56, 75.81, 50.95, 1.41, -3.81, -1.83, 1.41
xi_norm_demand_vb_e125_mmse-lsa, 3.50, 2.48, 2.73, 2.02, 91.81, 78.62, 8.80, 8.78, 1.99, 8.80
xi_norm_demand_vb_e125_srwf, 3.49, 2.47, 2.73, 2.01, 91.76, 78.51, 8.64, 8.63, 1.87, 8.64
xi_db_demand_vb_e125_mmse-lsa, 4.19, 3.40, 3.52, 2.83, 93.31, 83.97, 17.82, 17.72, 9.03, 17.82
xi_db_demand_vb_e125_srwf, 4.18, 3.32, 3.48, 2.76, 93.36, 83.92, 17.20, 17.11, 8.38, 17.20
xi_db_std_demand_vb_e125_mmse-lsa, 4.20, 3.36, 3.52, 2.81, 93.64, 84.07, 17.33, 17.23, 8.54, 17.33
xi_db_std_demand_vb_e125_srwf, 4.16, 3.25, 3.45, 2.71, 93.66, 83.93, 16.50, 16.41, 7.68, 16.50
xi_db_norm_mse_demand_vb_e125_mmse-lsa, 4.21, 3.36, 3.54, 2.83, 93.37, 83.83, 17.30, 17.20, 8.40, 17.30
xi_db_norm_mse_demand_vb_e125_srwf, 4.18, 3.25, 3.47, 2.73, 93.41, 83.77, 16.40, 16.31, 7.47, 16.40
xi_db_norm_demand_vb_e125_mmse-lsa, 4.14, 3.32, 3.46, 2.76, 93.17, 83.43, 17.09, 16.98, 8.31, 17.09
xi_db_norm_demand_vb_e125_srwf, 4.06, 3.26, 3.34, 2.61, 93.34, 83.56, 17.35, 17.27, 8.55, 17.35
xi_bar_mse_demand_vb_e125_mmse-lsa, 4.21, 3.40, 3.55, 2.86, 93.53, 84.06, 17.65, 17.55, 8.84, 17.65
xi_bar_mse_demand_vb_e125_srwf, 4.18, 3.31, 3.49, 2.77, 93.60, 84.08, 16.97, 16.87, 8.12, 16.97
xi_bar_demand_vb_e125_mmse-lsa, 4.24, 3.42, 3.57, 2.87, 93.61, 84.22, 17.90, 17.80, 9.04, 17.90
xi_bar_demand_vb_e125_srwf, 4.21, 3.34, 3.51, 2.79, 93.66, 84.18, 17.28, 17.19, 8.37, 17.28
xi_gamma_norm_demand_vb_e125_mmse-lsa, 3.51, 2.49, 2.74, 2.01, 91.72, 78.64, 8.78, 8.76, 1.96, 8.78
xi_gamma_db_demand_vb_e125_mmse-lsa, 4.19, 3.42, 3.52, 2.83, 93.64, 84.12, 17.99, 17.89, 9.22, 17.99
xi_gamma_db_norm_mse_demand_vb_e125_mmse-lsa, 4.18, 3.37, 3.48, 2.76, 93.41, 83.62, 17.96, 17.86, 9.14, 17.96
xi_gamma_db_norm_demand_vb_e125_mmse-lsa, 4.20, 3.39, 3.53, 2.82, 93.24, 83.49, 17.54, 17.43, 8.84, 17.54
xi_gamma_bar_mse_demand_vb_e125_mmse-lsa, 4.22, 3.38, 3.55, 2.85, 93.65, 84.07, 17.36, 17.26, 8.47, 17.36
xi_gamma_bar_demand_vb_e125_mmse-lsa, 4.26, 3.41, 3.59, 2.88, 93.50, 83.92, 17.54, 17.43, 8.75, 17.54
